college,rank,UNITID,OPEID,OPEID6,CITY,STABBR,ZIP,ACCREDAGENCY,LATITUDE,LONGITUDE,REGION,CCBASIC,CONTROL,ADM_RATE,SATVR25,SATVR75,SATMT25,SATMT75,SATWR25,SATWR75,SATVRMID,SATMTMID,SATWRMID,ACTCM25,ACTCM75,ACTEN25,ACTEN75,ACTMT25,ACTMT75,ACTWR25,ACTWR75,ACTCMMID,ACTENMID,ACTMTMID,ACTWRMID,SAT_AVG,UGDS,UG,UGDS_WHITE,UGDS_BLACK,UGDS_HISP,UGDS_ASIAN,UGDS_AIAN,UGDS_NHPI,UGDS_2MOR,UGDS_NRA,UGDS_UNKN,NPT4_PUB,NPT4_PRIV,COSTT4_A,COSTT4_P,AVGFACSAL,PCTPELL,C150_4,AGE_ENTRY,FEMALE,MARRIED,FIRST_GEN,FAMINC,MD_FAMINC,MN_EARN_WNE_P10,MD_EARN_WNE_P10,ENDOWBEGIN
Barnard College,32,189097,270800,2708,New York,NY,10027-6598,Middle States Commission on Higher Education,40.810098,-73.963346,2,21,2,0.136,680,748,670,770,650,740,714,720,695,31,34,33,35,27,32,NULL,NULL,33,34,30,NULL,1447,2744,NULL,0.4523,0.0521,0.1155,0.1797,0.0011,0.0011,0.0638,0.1228,0.0117,NULL,33122,77758,NULL,14167,0.1403,0.9,19.256,PrivacySuppressed,PrivacySuppressed,0.15565032,97285.966,66094,69700,71678,363623000
Davidson College,33,198385,291800,2918,Davidson,NC,28035,Southern Association of Colleges and Schools Commission on Colleges,35.499767,-80.843979,5,21,2,0.2,650,720,650,740,610,720,685,695,665,30,33,NULL,NULL,NULL,NULL,NULL,NULL,32,NULL,NULL,NULL,1402,1979,NULL,0.666,0.0642,0.0829,0.0586,0.002,0.002,0.0445,0.0692,0.0106,NULL,21042,70744,NULL,11047,0.1622,0.9303,19.43839542,0.461318052,PrivacySuppressed,0.157738095,103687.447,80076,71100,71671,881465075
Emory University,34,139658,156400,1564,Atlanta,GA,30322,Southern Association of Colleges and Schools Commission on Colleges,33.790183,-84.325512,5,15,2,0.1917,680,740,700,790,640,730,710,745,685,31,34,NULL,NULL,NULL,NULL,8,10,33,NULL,NULL,9,1459,6978,NULL,0.3703,0.0864,0.1079,0.2289,0.0006,0.0004,0.0439,0.1529,0.0087,NULL,22597,72604,NULL,14515,0.1888,0.9027,20.60010621,0.660647902,0.021773765,0.163870246,86143.93787,56041,84400,72364,8626248037
United States Military Academy at West Point,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Wellesley College,36,168218,222400,2224,Wellesley,MA,02481-8203,New England Commission on Higher Education,42.291554,-71.306605,1,21,2,0.2041,680,750,670,770,650,750,715,720,700,31,34,33,35,28,33,8,10,33,34,31,9,1446,2260,NULL,0.3531,0.0712,0.1403,0.2288,0.0009,0.0004,0.0646,0.1358,0.0049,NULL,23908,75198,NULL,12485,0.2128,0.9374,19.85496183,PrivacySuppressed,PrivacySuppressed,0.171779141,85633.05534,59989.5,71800,66531,2173415000
Washington and Lee University,37,234207,376800,3768,Lexington,VA,24450-2116,Southern Association of Colleges and Schools Commission on Colleges,37.788939,-79.443018,5,21,2,0.2451,670,740,680,760,650,730,705,720,690,32,34,33,35,29,32,NULL,NULL,33,34,31,NULL,1451,1820,NULL,0.7731,0.0341,0.0643,0.0374,0,0.0005,0.0412,0.0429,0.0066,NULL,26175,73900,NULL,13180,0.1,0.9342,19.40492958,0.440140845,PrivacySuppressed,PrivacySuppressed,145228.2218,115740,93300,86020,1676308000
Tufts University,38,168148,221900,2219,Medford,MA,02155-5555,New England Commission on Higher Education,42.40855,-71.118293,1,15,2,0.163,680,750,700,780,680,750,715,740,715,32,35,NULL,NULL,NULL,NULL,NULL,NULL,34,NULL,NULL,NULL,1474,6053,NULL,0.5077,0.0454,0.0843,0.1513,0.0007,0.0003,0.0598,0.1077,0.0428,NULL,37494,76151,NULL,12616,0.1138,0.9391,19.94395604,0.458241758,PrivacySuppressed,0.152954809,109816.5165,85929.5,103300,67122,1867962000
Boston College,39,164924,212800,2128,Chestnut Hill,MA,2467,New England Commission on Higher Education,42.336213,-71.169242,1,15,2,0.2638,660,730,670,770,640,730,695,720,685,31,34,33,35,28,33,8,10,33,34,31,9,1433,9681,NULL,0.5773,0.0428,0.1127,0.1046,0.0003,0.0003,0.0414,0.0764,0.0441,NULL,36599,75872,NULL,15608,0.134,0.9169,19.46906475,0.518944844,PrivacySuppressed,0.131895687,132356.5602,103007,92500,93021,2474132456
Amherst College,40,164465,211500,2115,Amherst,MA,01002-5000,New England Commission on Higher Education,42.372459,-72.518493,1,21,2,0.1183,710,770,720,790,680,770,740,755,725,32,35,33,36,29,34,NULL,NULL,34,35,32,NULL,1497,1745,NULL,0.404,0.1043,0.1398,0.1547,0.0057,0.0017,0.0705,0.102,0.0172,NULL,21657,76750,NULL,12844,0.2376,0.9467,19.66005666,0.543909348,PrivacySuppressed,0.208459215,78988.73371,42053,83300,71567,2473283206
University of Florida,41,134130,153500,1535,Gainesville,FL,32611,Southern Association of Colleges and Schools Commission on Colleges,29.64629,-82.347911,5,15,1,0.3113,650,720,640,740,570,670,685,690,620,29,33,28,35,26,31,8,9,31,32,29,9,1390,34237,NULL,0.5146,0.0573,0.2336,0.0971,0.0014,0.001,0.0431,0.0238,0.0281,5135,NULL,21151,NULL,11900,0.2439,0.8864,21.40105286,0.593790288,0.049957026,0.307665825,58287.237,39127,65700,64463,1818319000
